State / other (if US),Country
Alaska,United States
Arizona,United States
California,United States
Colorado,United States
Connecticut,United States
Florida,United States
Georgia,United States
Illinois,United States
Louisiana,United States
Maine,United States
Maryland,United States
Massachusetts,United States
Michigan,United States
Minnesota,United States
Nevada,United States
New Jersey,United States
New Mexico,United States
New York,United States
North Carolina,United States
Ohio,United States
Oregon,United States
Pennsylvania,United States
Puerto Rico,United States
Rhode Island,United States
South Carolina,United States
Tennessee,United States
Texas,United States
Utah,United States
Virgin Islands,United States
Virginia,United States
Washington,United States
"Washington, DC",United States
